"Division","Subject","Section","Type","Instructor","Capacity","Actual Registered","Registered","Seat Available","Room/Time","Final"
"HLD","ICML141 Elementary Spanish I 4(4-0-8)","01","master","Juan Carlos OLMOS ALCOY","20","20","20","0","5212 (Mon 12:00 - 13:50)                 5212 (Wed 12:00 - 13:50)","Tue 04-04-2017 08:00 - 09:50 [1418 - 1418]"
"HLD","ICEG462 Topics in Comparative Literature B: Short Story and Novel 4(4-0-8)","01","master","Mariejoy BUENAVENTURA","20","19","19","1","5311 (Mon 14:00 - 15:50)                 5311 (Wed 14:00 - 15:50)","Mon 03-04-2017 14:00 - 15:50 [3303 - Lecture Room]"
"BBA","ICBE448 Econometrics 4(4-0-8)","01","master","Saruta Benjanuvatra","40","40","40","0","1417 (Wed 12:00 - 13:50)                 1403 (Fri 12:00 - 13:50)","Wed 05-04-2017 18:00 - 19:50 [Room-TBA]"
"SS","ICSO364 Slavery and Human Trafficking 4(4-0-8)","01","master","Claus Karl MEYER","40","13","13","27","3420 (Tue 10:00 - 11:50)                 3411 (Thu 10:00 - 11:50)","[Room-TBA]"
"THM","ICTM462 Travel Industry Management Internship II 12(0-48-12)","01","master","Pisut YUWANOND","70","54","54","16","","[Room-TBA]"
"HLD","ICML102 Elementary German II 4(4-0-8)","01","master","Jan STEVENER","20","20","21","-1","5210 (Mon 14:00 - 15:50)                 5210 (Wed 14:00 - 15:50)","Tue 04-04-2017 10:00 - 11:50 [1504 - Lecture Room]"
"BBA","ICBE445 Economics of Strategy 4(4-0-8)","01","master","Narun LEELAMANIT","40","19","19","21","3302 (Sat 08:00 - 09:50)                 3302 (Sat 10:00 - 11:50)","Sat 08-04-2017 08:00 - 09:50 [1503 - Lecture Room]"
"SS","ICSS214 Southeast Asian Women 4(4-0-8)","01","joint","Marja-Leena HEIKKILA-HORN","20","6","6","14","1503 (Mon 14:00 - 15:50)                 1503 (Wed 14:00 - 15:50)","[Room-TBA]"
"HLD","ICPE103 Physical Education : Golf 1(0-3-1)","01","master","Adichai NIRATTISAYANGKOOL","15","15","15","0","(Tue 08:00 - 09:50)","[Room-TBA]"
"SCI","ICPY322 Electricity and Magnetism 4(4-0-8)","01","master","Narin NUTTAVUT","25","3","3","22","3303 (Mon 10:00 - 11:50)                 3316 (Wed 10:00 - 11:50)","[Room-TBA]"
